production,movie_title
" Columbia Pictures Corporation, Metro-Goldwyn-Mayer (MGM), Scott Rudin Productions",The Girl with the Dragon Tattoo
" LightWorkers Media, Metro-Goldwyn-Mayer (MGM), Paramount Pictures",Ben-Hur
" Walt Disney Feature Animation, Walt Disney Pictures",Atlantis: The Lost Empire
" Metro-Goldwyn-Mayer (MGM), United Artists, Bad Hat Harry Productions",Valkyrie
" Fox 2000 Pictures, Regency Enterprises, Bagdasarian Productions",Alvin and the Chipmunks: The Road Chip
" Warner Bros., DreamWorks, Amblin Entertainment",A.I. Artificial Intelligence
" Columbia Pictures Corporation, Relativity Media, Happy Madison Productions",You Don't Mess with the Zohan
" Columbia Pictures Corporation, LStar Capital, China Film Co.",Pixels
" Walt Disney Pictures, Gunn Films, Doom Buggy Productions",The Haunted Mansion
" Warner Bros., South Side Amusement Company",Contact
" Universal Pictures, Working Title Films, Misher Films",The Interpreter
" Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG",Hollow Man
" Universal Pictures, Beacon Communications, Beacon Pictures",Jogo de Espiões
" Paramount Pictures, Rysher Entertainment, Mace Neufeld Productions",The Saint
" Summit Entertainment, K/O Paper Products, TIK Film",Now You See Me 2
" Fox 2000 Pictures, TSG Entertainment, Sunswept Entertainment",Percy Jackson: Sea of Monsters
" Paramount Pictures, Mutual Film Company, British Broadcasting Corporation (BBC)",Lara Croft Tomb Raider: The Cradle of Life
 Columbia Pictures Corporation,The Devil's Own
" Twentieth Century Fox Animation, Blue Sky Studios",Rio
" 1492 Pictures, Columbia Pictures Corporation, Laurence Mark Productions",Bicentennial Man
" First Light Production, IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG, Intermedia Films",K-19: The Widowmaker
" Touchstone Pictures, Spyglass Entertainment, Red Horizon Productions",Mission to Mars
" Twentieth Century Fox, Donner/Shuler-Donner Productions, Moritz Original",Volcano
" Universal Pictures, Miramax, Imagine Entertainment",Cinderella Man
" Vnesheconombank, Nutcracker Holdings, HCC Media Group",The Nutcracker in 3D
" Warner Bros., Universal Pictures, Amblin Entertainment",Twister
" Universal Pictures, DreamWorks, Spyglass Entertainment",Seabiscuit
" Universal Pictures, Dino De Laurentiis Company, Edward R. Pressman Film",Conan the Barbarian
" Twentieth Century Fox, DreamWorks, ImageMovers",Cast Away
" Universal Pictures, Motion Picture THETA Produktionsgesellschaft, The Kennedy/Marshall Company",The Bourne Supremacy
" Warner Bros., Village Roadshow Pictures, NPV Entertainment",Ocean's Eleven
" Warner Bros., Village Roadshow Pictures, Kennedy Miller Productions",Happy Feet
" Columbia Pictures Corporation, Beacon Communications, Radiant Productions",Air Force One
" Columbia Pictures Corporation, Sony Pictures Animation, Happy Madison Productions",Hotel Transylvania
" Universal Pictures, Relativity Media, Bluegrass Films",Safe House
" Summit Entertainment, Constantin Film, Impact Pictures",The Three Musketeers
" Walt Disney Pictures, Josephson Entertainment, Andalasia Productions",Enchanted
" Dino De Laurentiis Company, Living Dead Guy Productions, AXN: Original X Production",Hannibal            
" Columbia Pictures Corporation, Universal Pictures, Relativity Media",The Holiday
" Universal Pictures, Relativity Media, Waverly Films",It's Complicated
" Warner Bros., Village Roadshow Pictures, Jerry Weintraub Productions",Ocean's Thirteen
" Cruella Productions, Kanzaman S.A.M., Walt Disney Pictures",102 Dalmatians
" Columbia Pictures Corporation, Sony Pictures Animation",Open Season
" Swanford Films, MP Film Management, Little Bird",Enemy at the Gates
" Summit Entertainment, Red Wagon Entertainment",Divergent
" Universal Pictures, Imagine Entertainment, Relativity Media",Tower Heist
" Touchstone Pictures, Jerry Bruckheimer Films, Don Simpson/Jerry Bruckheimer Films",Enemy of the State
" Columbia Pictures Corporation, Universal Pictures, WWE Studios",The Rundown
" Universal Pictures, Relativity Media, Original Film",The Fast and the Furious: Tokyo Drift
" Columbia Pictures Corporation, DreamWorks, Spyglass Entertainment",Memoirs of a Geisha
" Aardman Animations, Columbia Pictures Corporation, Sony Pictures Animation",Arthur Christmas
" Relativity Media, Yucaipa Films, Goldmann Pictures",Mirror Mirror
" Columbia Pictures Corporation, Twentieth Century Fox",All That Jazz
" Universal Pictures, City Light Films",Meet Joe Black
" Columbia Pictures Corporation, Oak Productions",Last Action Hero
" Universal Pictures, Marc Platt Productions, Big Talk Productions",Scott Pilgrim vs. the World
" Warner Bros., Bel Air Entertainment, David Foster Productions",Collateral Damage
" Universal Pictures, Imagine Entertainment, Shady Acres Entertainment",Nutty Professor II: The Klumps
" Warner Bros., Mosaic Media Group, Atlas Entertainment",Scooby-Doo
" Paramount Pictures, David Foster Productions, Munich Film Partners New Century & Company (MFP) Core Productions",The Core
" Creepshow Films Inc., Laurel Entertainment Inc., Laurel-Show Inc.",Creepshow: Contos de Terror
" DNA Films, Peach Trees, Rena Films",Dredd
" Paramount Pictures, Warner Bros., Phoenix Pictures",Zodiac
" Columbia Pictures Corporation, Revolution Studios, Happy Madison Productions",Click
" Universal Pictures, Dark Horse Entertainment, Internationale Filmproduktion Eagle",Hellboy II: The Golden Army
" Spyglass Entertainment, Universal Pictures, Shady Acres Entertainment",Bruce Almighty
" Twentieth Century Fox, Regency Enterprises, New Regency Pictures",Jumper
" CD2 Films, Mad Chance, Polymorphic Pictures",Cats & Dogs: The Revenge of Kitty Galore
" Paramount Pictures, Cruise/Wagner Productions",Mission: Impossible
" Millennium Films, Millennium Films, Nimar Studios",The Expendables
" Warner Bros., Legendary Entertainment, Green Hat Films",The Hangover Part II
 Phoenix Pictures,The 6th Day
" Lionsgate, Color Force",The Hunger Games
" DreamWorks Animation, Pacific Data Images (PDI)",Over the Hedge
" Warner Bros., PolyGram Filmed Entertainment",Batman Returns
" Paramount Pictures, DreamWorks, Zanuck/Brown Productions",Deep Impact
" Paramount Pictures, Walden Media, Kerner Entertainment Company",Charlotte's Web
" Walt Disney Pictures, Walt Disney Feature Animation Florida, Walt Disney Feature Animation",Lilo & Stitch
" Paramount Pictures, Columbia Pictures Corporation, Happy Madison Productions",The Longest Yard
" Columbia Pictures Corporation, Happy Madison Productions, Sony Pictures Entertainment (SPE)",Grown Ups 2
" Summit Entertainment, Di Bonaventura Pictures, DC Entertainment",RED 2
" Fox 2000 Pictures, Regency Enterprises, Bagdasarian Productions",Alvin and the Chipmunks: Chipwrecked
" Columbia Pictures Corporation, Warner Bros., Waverly Films",Something's Gotta Give
" Warner Bros., Village Roadshow Pictures, Mosaic Media Group",Get Smart
" Paramount Pictures, Phoenix Pictures, Sikelia Productions",Shutter Island
" Permut Presentations, Touchstone Pictures, Paramount Pictures",Face/Off
" New Line Cinema, Spyglass Entertainment, Wild West Picture Show Productions",Four Christmases
" Twentieth Century Fox Animation, Blue Sky Studios",Robots
" Columbia Pictures Corporation, Happy Madison Productions",Just Go with It
" DreamWorks, Twentieth Century Fox, The Zanuck Company",Road to Perdition
" Walt Disney Pictures, Happy Madison Productions, Gunn Films",Bedtime Stories
" Touchstone Pictures, Jerry Bruckheimer Films, Kouf/Bigelow Productions",Con Air
" ABC Studios, DeKnight Productions, Goddard Textiles",Daredevil            
" Miramax, Mirage Enterprises, Bona Fide Productions",Cold Mountain
" Alcon Entertainment, Silver Pictures",The Book of Eli
" DreamWorks, Roth-Arnold Productions",A Mansão
" Walt Disney Pictures, Great Oaks Entertainment",Flubber
" Warner Bros. Family Entertainment, Northern Lights Entertainment, Courtside Seats Productions",Space Jam
" DreamWorks, Goldcrest Pictures, KMP Film Invest",Eagle Eye
" Twentieth Century Fox, 3 Arts Entertainment, Dune Entertainment III",The Day the Earth Stood Still
" Caravan Pictures, Northern Lights Entertainment, Roger Birnbaum Productions",Six Days Seven Nights
" Metro-Goldwyn-Mayer (MGM), Columbia Pictures Corporation, Robert Simonds Productions",The Pink Panther
" Warner Bros., Silver Pictures, Donner/Shuler-Donner Productions",Conspiracy Theory
" DreamWorks Animation, DreamWorks",Spirit: Stallion of the Cimarron
" Columbia Pictures Corporation, QED International, LStar Capital",Fury
" Columbia Pictures Corporation, Metro-Goldwyn-Mayer (MGM), Broken Road Productions",Zookeeper
" Warner Bros., Sunswept Entertainment, De Line Pictures",Yogi Bear
" Paramount Pictures, Scott Rudin Productions, Clinica Estetico",The Manchurian Candidate
" Columbia Pictures Corporation, LStar Capital, Sony Pictures Animation",Hotel Transylvania 2
" New Line Cinema, Saltire Entertainment, Irwin Allen Productions",Lost in Space
" RKO Pictures, Walt Disney Pictures",Mighty Joe Young
" Walt Disney Pictures, Walt Disney Feature Animation",Fantasia 2000
" Jagtoria Films, Revere Entertainment, The Rainbow Film Company",Déjà Vu
" Hollywood Licensing Group, Jonathan Krane Group, NPV Entertainment",Swordfish
" Warner Bros., DreamWorks, Parkes+MacDonald Image Nation",The Time Machine
" Polygram Filmed Entertainment, Interscope Communications, Metafilmics",What Dreams May Come
" Avery Pix, Happy Madison Productions, New Line Cinema",Little Nicky
" Ashmont Productions, Screen Gems Television",Bewitched            
" Columbia Pictures Corporation, Tornado Productions Inc., Amblin Entertainment",The Legend of Zorro
" Tim Burton Productions, Warner Bros.",Mars Attacks!
" Dimension Films, Metro-Goldwyn-Mayer (MGM), Mosaic Media Group",The Brothers Grimm
" Touchstone Pictures, Mandeville Films, Top Shelf Productions",Surrogates
 Art Linson Productions,The Edge
" Les Films du Worso, Noodles Production, Volcano Films",Evolução
" New Line Cinema, Beacon Communications, Beacon Pictures",Thirteen Days
" Davis Entertainment, Universal Pictures",Daylight
" Warner Bros., Baltimore Spring Creek Productions, Goldmann Pictures",Looney Tunes: De Novo em Acção
" Paramount Pictures, Mutual Film Company, Donners' Company",Timeline
" The Weinstein Company, Relativity Media, Marc Platt Productions",Nine
 Kennedy Miller Productions,Babe: Um Porquinho na Cidade
" Animal Logic, BBC Earth MD (WWD), BBC Earth",Walking with Dinosaurs 3D
" Tig Productions, Warner Bros.",The Postman
" Warner Bros., Morgan Creek Entertainment, Franchise Pictures",Battlefield Earth
" Summit Entertainment, TIK Films, Mark Canton Productions",The Last Witch Hunter
" Warner Bros., Village Roadshow Pictures, NPV Entertainment",Red Planet
" EuropaCorp, Avalanche Productions, Metro Voices",Arthur and the Invisibles
" Constantin Film, TriStar Pictures, FilmDistrict",Pompeia
" Universal Pictures, DreamWorks, Imagine Entertainment",A Beautiful Mind
" Franchise Pictures, Crusader Entertainment, ApolloMedia Distribution",O Som do Trovão
" Walt Disney Pictures, Walt Disney Feature Animation",The Lion King
" Anima Estudios, Discreet Arts Productions, Hanna-Barbera Productions",Top Cat: O Início
" Galatée Films, Pathé, France 2 Cinéma",Oceanos
" New Line Cinema, Contrafilm, Walden Media",Journey 2: The Mysterious Island
" Universal Pictures, Dino De Laurentiis Company, Metro-Goldwyn-Mayer (MGM)",Dragão Vermelho
" Touchstone Pictures, Casey Silver Productions, Dune Films",Hidalgo
" Columbia Pictures Corporation, Happy Madison Productions, Broken Road Productions",Jack and Jill
" Columbia Pictures Corporation, Sony Pictures Animation",Cloudy with a Chance of Meatballs 2
" Onyx Films, Orange Studio, LPPTV",O Principezinho
" CJ Entertainment, CJ Entertainment Animation Group, Sunwoo Entertainment",The Adventures of Rocky & Bullwinkle
" Warner Bros., Village Roadshow Pictures, Silver Pictures",The Invasion
" Universal Pictures, Original Film, Mikona Productions GmbH & Co. KG",2 Fast 2 Furious
" Universal Pictures, Illumination Entertainment, Dentsu",A Vida Secreta dos Nossos Bichos
" Angry Films, International Production Company, JD Productions",The League of Extraordinary Gentlemen
" Twentieth Century Fox, Centropolis Entertainment",Independence Day
" Universal Pictures, Amblin Entertainment, Digital Image Associates",The Lost World: Jurassic Park
" DreamWorks Animation, DreamWorks, Nickelodeon Movies",Madagascar
" Universal Pictures, Illumination Entertainment",Despicable Me 2
" Universal Pictures, Strike Entertainment, Hit & Run Productions",Children of Men
" Twentieth Century Fox, Marvel Enterprises, Donners' Company",X-Men
" Universal Pictures, Spyglass Entertainment, Relativity Media",Wanted
" Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",The Rock
" Twentieth Century Fox Animation, Blue Sky Studios",Ice Age: The Meltdown
" New Line Cinema, Ingenious Film Partners, Zadan / Meron Productions",Hairspray
" Walt Disney Pictures, Caravan Pictures, DIC Entertainment",Inspector Gadget
" Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content",50 First Dates
" Columbia Pictures Corporation, Relativity Media, Happy Madison Productions",Grown Ups
" Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E",Now You See Me
" DC Comics, Warner Bros. Television",Constantine            
" DreamWorks, Amblin Entertainment, Parkes+MacDonald Image Nation",The Terminal
" Morgan Creek Entertainment, Dominion Productions, Post Amazers",Exorcist: The Beginning
" Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG, Mountain High Productions",Vertical Limit
" DreamWorks Animation, DreamWorks, Pacific Data Images (PDI)",Shark Tale
" DreamWorks, Nickelodeon Movies, Cold Spring Pictures",Hotel para Cães
" Universal Pictures, Relativity Media, Participant Media",Charlie Wilson's War
" DreamWorks, Paramount Pictures, Laurence Mark Productions",Dreamgirls
" Metro-Goldwyn-Mayer (MGM), Jersey Films, Double Feature Films",Be Cool
 NBC Universal Television,Life            
" DreamWorks, Universal Pictures, Amblin Entertainment",Munique
" Cheyenne Enterprises, Michael Lobell Productions, Revolution Studios",Tears of the Sun
" Lionsgate, Aversano Films, Katalyst Films",Killers
" Warner Bros., RatPac-Dune Entertainment, Wigram Productions",The Man from U.N.C.L.E.
" Fox 2000 Pictures, Lawrence Bender Productions",Anna and the King
" Columbia Pictures Corporation, Gracie Films",Spanglish
" Relativity Media, Virgin Produced, Mark Canton Productions",Immortals
" Columbia Pictures Corporation, Relativity Media, ImageMovers",Monster House
" Miramax, Stratus Film Co., Cheyenne Enterprises",Hostage
" Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment, Empire Pictures",Bandits
